seed_base,v_label,run_id,proxy_clear_rate,proxy_damage_per_min,proxy_survival_time,proxy_input_density,q_a,q_intro,q_success_fb,q_d,q_c,q_e
2000000,v003,2000006,0,0.7275,82.47,20.371,5,4.5,3,4.5,4.5,5
2000000,v001,2000007,0,2.2371,26.82,20.1342,5,4,3,3.5,,5
2000000,v002,2000007,0,2.2371,26.82,20.1342,5,4.5,3,4.5,4.5,5
2000000,v003,2000007,0,2.2371,26.82,20.1342,5,4.5,3,4.5,4.5,5
2000000,v001,2000008,1,0,90,20,5,4,3,3.5,,5
2000000,v002,2000008,1,0,90,20,5,4.5,3,4.5,4.5,5
2000000,v003,2000008,1,0,90,20,5,4.5,3,4.5,4.5,5
2000000,v001,2000009,0,0.9524,63,20,5,4,3,3.5,,5
2000000,v002,2000009,0,0.9524,63,20,5,4.5,3,4.5,4.5,5
2000000,v003,2000009,0,0.9524,63,20,5,4.5,3,4.5,4.5,5
2000000,v001,2000010,0,0.9356,64.13,20.5832,5,4,3,3.5,,5
2000000,v002,2000010,0,0.9356,64.13,20.5832,5,4.5,3,4.5,4.5,5
2000000,v003,2000010,0,0.9356,64.13,20.5832,5,4.5,3,4.5,4.5,5
2000000,v001,2000011,0,0.9356,64.13,20.5832,5,4,3,3.5,,5
2000000,v002,2000011,0,0.9356,64.13,20.5832,5,4.5,3,4.5,4.5,5
2000000,v003,2000011,0,0.9356,64.13,20.5832,5,4.5,3,4.5,4.5,5
2000000,v001,2000012,0,2.2371,26.82,20.1342,5,4,3,3.5,,5
2000000,v002,2000012,0,2.2371,26.82,20.1342,5,4.5,3,4.5,4.5,5
2000000,v003,2000012,0,2.2371,26.82,20.1342,5,4.5,3,4.5,4.5,5
2000000,v001,2000013,0,2.2346,26.85,20.1117,5,4,3,3.5,,5
2000000,v002,2000013,0,2.2346,26.85,20.1117,5,4.5,3,4.5,4.5,5
2000000,v003,2000013,0,2.2346,26.85,20.1117,5,4.5,3,4.5,4.5,5
2000000,v001,2000014,0,2.1622,27.75,19.4595,5,4,3,3.5,,5
2000000,v002,2000014,0,2.1622,27.75,19.4595,5,4.5,3,4.5,4.5,5
2000000,v003,2000014,0,2.1622,27.75,19.4595,5,4.5,3,4.5,4.5,5
2000000,v001,2000015,0,6.2827,9.55,18.8482,5,4,3,3.5,,5
2000000,v002,2000015,0,6.2827,9.55,18.8482,5,4.5,3,4.5,4.5,5
2000000,v003,2000015,0,6.2827,9.55,18.8482,5,4.5,3,4.5,4.5,5
2000000,v001,2000016,0,2.1978,27.3,19.7802,5,4,3,3.5,,5
2000000,v002,2000016,0,2.1978,27.3,19.7802,5,4.5,3,4.5,4.5,5
2000000,v003,2000016,0,2.1978,27.3,19.7802,5,4.5,3,4.5,4.5,5
2000000,v001,2000017,0,2.1299,28.17,21.2993,5,4,3,3.5,,5
2000000,v002,2000017,0,2.1299,28.17,21.2993,5,4.5,3,4.5,4.5,5
2000000,v003,2000017,0,2.1299,28.17,21.2993,5,4.5,3,4.5,4.5,5
2000000,v001,2000018,0,8.5714,7,25.7143,5,4,3,3.5,,5
2000000,v002,2000018,0,8.5714,7,25.7143,5,4.5,3,4.5,4.5,5
2000000,v003,2000018,0,8.5714,7,25.7143,5,4.5,3,4.5,4.5,5
2000000,v001,2000019,0,2.0819,28.82,20.8189,5,4,3,3.5,,5
2000000,v002,2000019,0,2.0819,28.82,20.8189,5,4.5,3,4.5,4.5,5
2000000,v003,2000019,0,2.0819,28.82,20.8189,5,4.5,3,4.5,4.5,5
2000000,v001,2000020,0,0.9346,64.2,20.5607,5,4,3,3.5,,5
2000000,v002,2000020,0,0.9346,64.2,20.5607,5,4.5,3,4.5,4.5,5
2000000,v003,2000020,0,0.9346,64.2,20.5607,5,4.5,3,4.5,4.5,5
2000000,v001,2000021,0,6.25,9.6,18.75,5,4,3,3.5,,5
2000000,v002,2000021,0,6.25,9.6,18.75,5,4.5,3,4.5,4.5,5
2000000,v003,2000021,0,6.25,9.6,18.75,5,4.5,3,4.5,4.5,5
2000000,v001,2000022,0,6.8966,8.7,20.6897,5,4,3,3.5,,5
2000000,v002,2000022,0,6.8966,8.7,20.6897,5,4.5,3,4.5,4.5,5
2000000,v003,2000022,0,6.8966,8.7,20.6897,5,4.5,3,4.5,4.5,5
2000000,v001,2000023,0,6.4725,9.27,19.4175,5,4,3,3.5,,5
2000000,v002,2000023,0,6.4725,9.27,19.4175,5,4.5,3,4.5,4.5,5
2000000,v003,2000023,0,6.4725,9.27,19.4175,5,4.5,3,4.5,4.5,5
2000000,v001,2000024,0,1.373,43.7,20.595,5,4,3,3.5,,5
2000000,v002,2000024,0,1.373,43.7,20.595,5,4.5,3,4.5,4.5,5
