track,frame,time,cx,cy,w,h,bbox_area,mask_area,x0,y0,x1,y1
25,94,43.1,163.5,62.0,34,35,1190,368,147,45,180,79
1,55,41.8,250.5,48.0,26,5,130,53,238,46,263,50
1,56,41.83,250.5,48.0,26,5,130,53,238,46,263,50
1,57,41.87,250.5,48.0,26,5,130,53,238,46,263,50
1,58,41.9,250.5,48.0,26,5,130,53,238,46,263,50
1,59,41.93,250.5,48.0,26,5,130,53,238,46,263,50
1,60,41.97,250.5,48.0,26,5,130,53,238,46,263,50
1,61,42.0,250.5,48.0,26,5,130,53,238,46,263,50
1,62,42.03,250.5,48.0,26,5,130,53,238,46,263,50
1,63,42.07,250.5,48.0,26,5,130,53,238,46,263,50
1,64,42.1,250.5,48.0,26,5,130,53,238,46,263,50
1,65,42.13,250.5,48.0,26,5,130,53,238,46,263,50
1,66,42.17,250.5,48.0,26,5,130,53,238,46,263,50
1,67,42.2,250.5,48.0,26,5,130,53,238,46,263,50
1,68,42.23,250.5,48.0,26,5,130,53,238,46,263,50
1,69,42.27,250.5,48.0,26,5,130,53,238,46,263,50
1,70,42.3,250.5,48.0,26,5,130,53,238,46,263,50
1,71,42.33,250.5,48.0,26,5,130,53,238,46,263,50
1,72,42.37,250.5,48.0,26,5,130,53,238,46,263,50
1,73,42.4,250.5,48.0,26,5,130,53,238,46,263,50
1,74,42.43,250.5,48.0,26,5,130,53,238,46,263,50
1,75,42.47,250.5,48.0,26,5,130,53,238,46,263,50
1,76,42.5,250.5,48.0,26,5,130,53,238,46,263,50
1,77,42.53,250.5,48.0,26,5,130,53,238,46,263,50
1,78,42.57,250.5,48.0,26,5,130,53,238,46,263,50
1,79,42.6,250.5,48.0,26,5,130,53,238,46,263,50
1,80,42.63,250.5,48.0,26,5,130,53,238,46,263,50
1,81,42.67,250.5,48.0,26,5,130,53,238,46,263,50
1,82,42.7,250.5,48.0,26,5,130,53,238,46,263,50
1,83,42.73,250.5,48.0,26,5,130,53,238,46,263,50
34,99,43.27,250.5,48.0,26,5,130,55,238,46,263,50
34,100,43.3,250.5,48.0,26,5,130,55,238,46,263,50
34,101,43.33,250.5,48.0,26,5,130,55,238,46,263,50
34,102,43.37,250.5,48.0,26,5,130,55,238,46,263,50
34,103,43.4,250.5,48.0,26,5,130,55,238,46,263,50
34,104,43.43,250.5,48.0,26,5,130,55,238,46,263,50
34,105,43.47,250.5,48.0,26,5,130,55,238,46,263,50
34,106,43.5,250.5,48.0,26,5,130,55,238,46,263,50
34,107,43.53,250.5,48.0,26,5,130,55,238,46,263,50
34,108,43.57,250.5,48.0,26,5,130,55,238,46,263,50
24,90,42.97,251.0,48.5,25,4,100,51,239,47,263,50
24,91,43.0,250.5,48.0,26,5,130,55,238,46,263,50
24,92,43.03,250.5,48.0,26,5,130,55,238,46,263,50
24,93,43.07,250.5,48.0,26,5,130,55,238,46,263,50
24,94,43.1,250.5,48.0,26,5,130,55,238,46,263,50
24,95,43.13,250.5,48.0,26,5,130,55,238,46,263,50
24,96,43.17,250.5,48.0,26,5,130,55,238,46,263,50
49,110,43.63,297.5,55.5,12,4,48,21,292,54,303,57
49,111,43.67,297.5,55.5,12,4,48,21,292,54,303,57
49,112,43.7,297.5,55.5,12,4,48,21,292,54,303,57
49,113,43.73,297.5,55.5,12,4,48,21,292,54,303,57
49,114,43.77,297.5,55.5,12,4,48,21,292,54,303,57
58,117,43.87,297.5,55.5,12,4,48,21,292,54,303,57
58,118,43.9,297.5,55.5,12,4,48,21,292,54,303,57
58,119,43.93,297.5,55.5,12,4,48,21,292,54,303,57
58,120,43.97,297.5,55.5,12,4,48,21,292,54,303,57
58,121,44.0,297.5,55.5,12,4,48,21,292,54,303,57
50,110,43.63,268.5,90.0,70,15,1050,448,234,83,303,97
50,111,43.67,269.0,94.5,69,8,552,374,235,91,303,98
50,112,43.7,269.0,96.5,67,8,536,355,236,93,302,100
50,113,43.73,269.0,97.5,67,8,536,340,236,94,302,101
50,114,43.77,270.5,98.0,66,9,594,375,238,94,303,102
33,99,43.27,108.0,59.5,119,30,3570,551,49,45,167,74
33,100,43.3,108.0,52.5,119,16,1904,393,49,45,167,60
