frame,time,cx,cy,w,h,bbox_area,mask_area,x0,y0,x1,y1
64,42.1,88.0,50.0,79,9,711,229,49,46,127,54
64,42.1,250.5,48.0,26,5,130,53,238,46,263,50
64,42.1,296.0,55.0,15,5,75,29,289,53,303,57
65,42.13,88.0,50.0,79,9,711,229,49,46,127,54
65,42.13,250.5,48.0,26,5,130,53,238,46,263,50
65,42.13,297.0,55.5,13,4,52,22,291,54,303,57
66,42.17,88.0,50.0,79,9,711,229,49,46,127,54
66,42.17,250.5,48.0,26,5,130,53,238,46,263,50
66,42.17,297.0,55.5,13,4,52,22,291,54,303,57
66,42.17,141.0,130.0,7,11,77,46,138,125,144,135
67,42.2,88.0,50.0,79,9,711,229,49,46,127,54
67,42.2,250.5,48.0,26,5,130,53,238,46,263,50
67,42.2,297.0,55.5,13,4,52,22,291,54,303,57
67,42.2,145.5,131.0,8,11,88,53,142,126,149,136
68,42.23,88.0,50.0,79,9,711,229,49,46,127,54
68,42.23,250.5,48.0,26,5,130,53,238,46,263,50
68,42.23,297.0,55.5,13,4,52,22,291,54,303,57
68,42.23,11.0,140.5,23,6,138,74,0,138,22,143
69,42.27,88.0,50.0,79,9,711,229,49,46,127,54
69,42.27,250.5,48.0,26,5,130,53,238,46,263,50
70,42.3,88.0,50.0,79,9,711,229,49,46,127,54
70,42.3,250.5,48.0,26,5,130,53,238,46,263,50
70,42.3,8.5,142.0,18,5,90,50,0,140,17,144
71,42.33,88.0,50.0,79,9,711,229,49,46,127,54
71,42.33,250.5,48.0,26,5,130,53,238,46,263,50
72,42.37,88.0,50.0,79,9,711,229,49,46,127,54
72,42.37,250.5,48.0,26,5,130,53,238,46,263,50
73,42.4,88.0,50.0,79,9,711,229,49,46,127,54
73,42.4,250.5,48.0,26,5,130,53,238,46,263,50
74,42.43,88.0,50.0,79,9,711,229,49,46,127,54
74,42.43,250.5,48.0,26,5,130,53,238,46,263,50
75,42.47,88.0,50.0,79,9,711,229,49,46,127,54
75,42.47,250.5,48.0,26,5,130,53,238,46,263,50
76,42.5,88.0,50.0,79,9,711,229,49,46,127,54
76,42.5,250.5,48.0,26,5,130,53,238,46,263,50
76,42.5,296.0,55.0,15,5,75,29,289,53,303,57
76,42.5,178.5,123.5,22,12,264,83,168,118,189,129
77,42.53,88.0,50.0,79,9,711,229,49,46,127,54
77,42.53,250.5,48.0,26,5,130,53,238,46,263,50
77,42.53,296.0,55.0,15,5,75,29,289,53,303,57
78,42.57,88.0,50.0,79,9,711,229,49,46,127,54
78,42.57,250.5,48.0,26,5,130,53,238,46,263,50
79,42.6,88.0,50.0,79,9,711,229,49,46,127,54
79,42.6,250.5,48.0,26,5,130,53,238,46,263,50
79,42.6,295.0,115.5,29,18,522,230,281,107,309,124
79,42.6,165.5,130.0,24,13,312,64,154,124,177,136
80,42.63,88.0,50.0,79,9,711,229,49,46,127,54
80,42.63,250.5,48.0,26,5,130,53,238,46,263,50
80,42.63,296.0,107.0,47,27,1269,149,273,94,319,120
80,42.63,20.0,125.5,41,22,902,255,0,115,40,136
80,42.63,161.0,128.0,9,15,135,76,157,121,165,135
81,42.67,88.0,50.0,79,9,711,229,49,46,127,54
81,42.67,250.5,48.0,26,5,130,53,238,46,263,50
81,42.67,296.0,107.5,47,28,1316,184,273,94,319,121
82,42.7,88.0,50.0,79,9,711,229,49,46,127,54
82,42.7,250.5,48.0,26,5,130,53,238,46,263,50
82,42.7,301.0,113.5,37,24,888,236,283,102,319,125
83,42.73,88.0,50.0,79,9,711,229,49,46,127,54
83,42.73,250.5,48.0,26,5,130,53,238,46,263,50
83,42.73,304.5,109.5,30,20,600,245,290,100,319,119
83,42.73,311.0,140.5,13,4,52,26,305,139,317,142
84,42.77,88.0,50.0,79,9,711,229,49,46,127,54
84,42.77,72.5,129.0,146,25,3650,1299,0,117,145,141
84,42.77,296.0,138.0,19,5,95,35,287,136,305,140
86,42.83,88.0,50.0,79,9,711,229,49,46,127,54
86,42.83,252.0,70.0,29,49,1421,438,238,46,266,94
86,42.83,297.0,55.5,13,4,52,23,291,54,303,57
86,42.83,288.5,135.5,16,4,64,38,281,134,296,137
87,42.87,88.0,50.0,79,9,711,229,49,46,127,54
88,42.9,88.0,50.0,79,9,711,229,49,46,127,54
88,42.9,237.0,68.5,41,34,1394,242,217,52,257,85
88,42.9,106.0,125.0,213,21,4473,2358,0,115,212,135
